NAICS,Demand for,Demand met In-region,% Demand met In-region,Demand met by Imports,% Demand met by Imports,Total Demand
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,$325,0.2%,"$169,626",99.8%,"$169,951"
334417,Electronic Connector Manufacturing,$22,0.0%,"$167,056",100.0%,"$167,078"
541340,Drafting Services,"$11,366",6.8%,"$155,337",93.2%,"$166,703"
487210,"Scenic and Sightseeing Transportation, Water",$298,0.2%,"$166,376",99.8%,"$166,674"
326212,Tire Retreading,$536,0.3%,"$164,930",99.7%,"$165,467"
326220,Rubber and Plastics Hoses and Belting Manufacturing,$571,0.3%,"$162,654",99.7%,"$163,225"
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,"$1,627",1.0%,"$160,647",99.0%,"$162,274"
313110,"Fiber, Yarn, and Thread Mills",$59,0.0%,"$161,246",100.0%,"$161,305"
561431,Private Mail Centers,"$4,515",2.9%,"$153,121",97.1%,"$157,636"
334412,Bare Printed Circuit Board Manufacturing,$208,0.1%,"$156,452",99.9%,"$156,660"
331511,Iron Foundries,"$4,278",2.7%,"$152,382",97.3%,"$156,660"
488310,Port and Harbor Operations,"$1,327",0.8%,"$155,197",99.2%,"$156,524"
339994,"Broom, Brush, and Mop Manufacturing",$0,0.0%,"$156,065",100.0%,"$156,065"
611630,Language Schools,"$1,018",0.7%,"$154,564",99.3%,"$155,582"
325130,Synthetic Dye and Pigment Manufacturing,$0,0.0%,"$154,715",100.0%,"$154,715"
519210,Libraries and Archives,$453,0.3%,"$152,823",99.7%,"$153,276"
486910,Pipeline Transportation of Refined Petroleum Products,"$14,011",9.4%,"$135,726",90.6%,"$149,737"
332919,Other Metal Valve and Pipe Fitting Manufacturing,$0,0.0%,"$148,109",100.0%,"$148,109"
562213,Solid Waste Combustors and Incinerators,"$48,853",33.1%,"$98,643",66.9%,"$147,496"
332111,Iron and Steel Forging,"$1,009",0.7%,"$141,167",99.3%,"$142,176"
333131,Mining Machinery and Equipment Manufacturing,$0,0.0%,"$140,099",100.0%,"$140,099"
115111,Cotton Ginning,$446,0.3%,"$138,428",99.7%,"$138,874"
488390,Other Support Activities for Water Transportation,"$1,089",0.8%,"$136,104",99.2%,"$137,193"
213114,Support Activities for Metal Mining,$332,0.2%,"$135,454",99.8%,"$135,787"
313320,Fabric Coating Mills,"$3,164",2.4%,"$129,952",97.6%,"$133,116"
335991,Carbon and Graphite Product Manufacturing,$50,0.0%,"$130,764",100.0%,"$130,814"
332114,Custom Roll Forming,$376,0.3%,"$127,229",99.7%,"$127,606"
333994,Industrial Process Furnace and Oven Manufacturing,$0,0.0%,"$126,725",100.0%,"$126,725"
334610,Manufacturing and Reproducing Magnetic and Optical Media,"$1,714",1.4%,"$123,021",98.6%,"$124,735"
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","$4,514",3.7%,"$117,129",96.3%,"$121,643"
811411,Home and Garden Equipment Repair and Maintenance,"$34,072",28.6%,"$85,180",71.4%,"$119,252"
332613,Spring Manufacturing,$0,0.0%,"$118,715",100.0%,"$118,715"
213113,Support Activities for Coal Mining,$404,0.4%,"$113,358",99.6%,"$113,762"
221116,Geothermal Electric Power Generation,$0,0.0%,"$110,843",100.0%,"$110,843"
339993,"Fastener, Button, Needle, and Pin Manufacturing","$1,799",1.7%,"$106,732",98.3%,"$108,531"
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,$45,0.0%,"$107,983",100.0%,"$108,028"
423520,Coal and Other Mineral and Ore Merchant Wholesalers,"$24,279",22.8%,"$82,305",77.2%,"$106,585"
325212,Synthetic Rubber Manufacturing,"$1,275",1.2%,"$104,543",98.8%,"$105,817"
532281,Formal Wear and Costume Rental,"$10,286",9.8%,"$95,089",90.2%,"$105,375"
325910,Printing Ink Manufacturing,$265,0.3%,"$104,688",99.7%,"$104,953"
333996,Fluid Power Pump and Motor Manufacturing,$277,0.3%,"$104,486",99.7%,"$104,763"
493130,Farm Product Warehousing and Storage,"$30,763",31.4%,"$67,104",68.6%,"$97,867"
485111,Mixed Mode Transit Systems,$518,0.5%,"$95,920",99.5%,"$96,437"
812921,Photofinishing Laboratories (except One-Hour),"$19,990",21.3%,"$73,956",78.7%,"$93,946"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",$83,0.1%,"$89,736",99.9%,"$89,819"
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,"$2,139",2.4%,"$86,923",97.6%,"$89,062"
323120,Support Activities for Printing,"$1,314",1.6%,"$82,919",98.4%,"$84,233"
487110,"Scenic and Sightseeing Transportation, Land","$3,649",4.3%,"$80,323",95.7%,"$83,972"
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,$9,0.0%,"$83,782",100.0%,"$83,791"
331222,Steel Wire Drawing,"$2,361",2.8%,"$81,358",97.2%,"$83,719"
315120,Apparel Knitting Mills,$21,0.0%,"$80,699",100.0%,"$80,720"
221330,Steam and Air-Conditioning Supply,"$3,059",3.8%,"$77,660",96.2%,"$80,718"
316110,Leather and Hide Tanning and Finishing,$70,0.1%,"$80,338",99.9%,"$80,408"
512199,Other Motion Picture and Video Industries,$918,1.2%,"$78,141",98.8%,"$79,059"
561491,Repossession Services,"$71,540",94.5%,"$4,155",5.5%,"$75,694"
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills","$21,543",28.5%,"$54,027",71.5%,"$75,570"
331523,Nonferrous Metal Die-Casting Foundries,$505,0.7%,"$70,210",99.3%,"$70,715"
114210,Hunting and Trapping,$964,1.4%,"$69,680",98.6%,"$70,644"
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,$415,0.6%,"$69,291",99.4%,"$69,706"
333995,Fluid Power Cylinder and Actuator Manufacturing,$0,0.0%,"$68,414",100.0%,"$68,414"
313240,Knit Fabric Mills,$0,0.0%,"$64,725",100.0%,"$64,725"
311213,Malt Manufacturing,$0,0.0%,"$63,541",100.0%,"$63,541"
332991,Ball and Roller Bearing Manufacturing,$14,0.0%,"$58,626",100.0%,"$58,640"
212290,Other Metal Ore Mining,$0,0.0%,"$58,202",100.0%,"$58,202"
333613,Mechanical Power Transmission Equipment Manufacturing,$709,1.2%,"$57,307",98.8%,"$58,015"
212210,Iron Ore Mining,$0,0.0%,"$56,756",100.0%,"$56,756"
513191,Greeting Card Publishers,$239,0.4%,"$55,840",99.6%,"$56,079"
611410,Business and Secretarial Schools,$376,0.7%,"$54,131",99.3%,"$54,507"
331524,Aluminum Foundries (except Die-Casting),$0,0.0%,"$53,859",100.0%,"$53,859"
339995,Burial Casket Manufacturing,$0,0.0%,"$53,785",100.0%,"$53,785"
332112,Nonferrous Forging,$0,0.0%,"$53,407",100.0%,"$53,407"
331313,Alumina Refining and Primary Aluminum Production,$48,0.1%,"$50,711",99.9%,"$50,759"
331529,Other Nonferrous Metal Foundries (except Die-Casting),$0,0.0%,"$50,529",100.0%,"$50,529"
332117,Powder Metallurgy Part Manufacturing,$0,0.0%,"$49,661",100.0%,"$49,661"
322110,Pulp Mills,$989,2.0%,"$48,476",98.0%,"$49,465"
331512,Steel Investment Foundries,$0,0.0%,"$45,915",100.0%,"$45,915"
331513,Steel Foundries (except Investment),"$1,577",3.5%,"$44,024",96.5%,"$45,602"
902619,All Other Schools and Educational Support Services (State Government),$14,0.0%,"$39,656",100.0%,"$39,670"
811430,Footwear and Leather Goods Repair,"$9,765",27.8%,"$25,321",72.2%,"$35,085"
485119,Other Urban Transit Systems,"$5,803",19.1%,"$24,650",80.9%,"$30,453"
488111,Air Traffic Control,"$29,413",97.6%,$712,2.4%,"$30,125"
487990,"Scenic and Sightseeing Transportation, Other","$27,365",92.1%,"$2,343",7.9%,"$29,708"
486990,All Other Pipeline Transportation,"$1,820",6.7%,"$25,157",93.3%,"$26,977"
114119,Other Marine Fishing,$82,0.3%,"$25,791",99.7%,"$25,873"
113110,Timber Tract Operations,$31,0.1%,"$24,659",99.9%,"$24,690"
485112,Commuter Rail Systems,$0,0.0%,"$23,392",100.0%,"$23,392"
512132,Drive-In Motion Picture Theaters,$489,2.7%,"$17,641",97.3%,"$18,130"
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",$0,0.0%,"$16,054",100.0%,"$16,054"
113210,Forest Nurseries and Gathering of Forest Products,$388,3.4%,"$10,929",96.6%,"$11,316"
491110,Postal Service,$218,2.8%,"$7,623",97.2%,"$7,841"
812922,One-Hour Photofinishing,"$1,765",22.8%,"$5,973",77.2%,"$7,738"
,,"$754,852,224",17.2%,"$3,645,936,276",82.8%,"$4,400,788,500"
